Species,Culmen Length (mm),Body Mass (g)
Adelie Penguin (Pygoscelis adeliae),36.0,3.45
Adelie Penguin (Pygoscelis adeliae),42.3,4.15
Adelie Penguin (Pygoscelis adeliae),39.6,3.5
Adelie Penguin (Pygoscelis adeliae),40.1,4.3
Adelie Penguin (Pygoscelis adeliae),35.0,3.45
Adelie Penguin (Pygoscelis adeliae),42.0,4.05
Adelie Penguin (Pygoscelis adeliae),34.5,2.9
Adelie Penguin (Pygoscelis adeliae),41.4,3.7
Adelie Penguin (Pygoscelis adeliae),39.0,3.55
Adelie Penguin (Pygoscelis adeliae),40.6,3.8
Adelie Penguin (Pygoscelis adeliae),36.5,2.85
Adelie Penguin (Pygoscelis adeliae),37.6,3.75
Adelie Penguin (Pygoscelis adeliae),35.7,3.15
Adelie Penguin (Pygoscelis adeliae),41.3,4.4
Adelie Penguin (Pygoscelis adeliae),37.6,3.6
Adelie Penguin (Pygoscelis adeliae),41.1,4.05
Adelie Penguin (Pygoscelis adeliae),36.4,2.85
Adelie Penguin (Pygoscelis adeliae),41.6,3.95
Adelie Penguin (Pygoscelis adeliae),35.5,3.35
Adelie Penguin (Pygoscelis adeliae),41.1,4.1
Adelie Penguin (Pygoscelis adeliae),35.9,3.05
Adelie Penguin (Pygoscelis adeliae),41.8,4.45
Adelie Penguin (Pygoscelis adeliae),33.5,3.6
Adelie Penguin (Pygoscelis adeliae),39.7,3.9
Adelie Penguin (Pygoscelis adeliae),39.6,3.55
Adelie Penguin (Pygoscelis adeliae),45.8,4.15
Adelie Penguin (Pygoscelis adeliae),35.5,3.7
Adelie Penguin (Pygoscelis adeliae),42.8,4.25
Adelie Penguin (Pygoscelis adeliae),40.9,3.7
Adelie Penguin (Pygoscelis adeliae),37.2,3.9
Adelie Penguin (Pygoscelis adeliae),36.2,3.55
Adelie Penguin (Pygoscelis adeliae),42.1,4.0
Adelie Penguin (Pygoscelis adeliae),34.6,3.2
Adelie Penguin (Pygoscelis adeliae),42.9,4.7
Adelie Penguin (Pygoscelis adeliae),36.7,3.8
Adelie Penguin (Pygoscelis adeliae),35.1,4.2
Adelie Penguin (Pygoscelis adeliae),37.3,3.35
Adelie Penguin (Pygoscelis adeliae),41.3,3.55
Adelie Penguin (Pygoscelis adeliae),36.3,3.8
Adelie Penguin (Pygoscelis adeliae),36.9,3.5
Adelie Penguin (Pygoscelis adeliae),38.3,3.95
Adelie Penguin (Pygoscelis adeliae),38.9,3.6
Adelie Penguin (Pygoscelis adeliae),35.7,3.55
Adelie Penguin (Pygoscelis adeliae),41.1,4.3
Adelie Penguin (Pygoscelis adeliae),34.0,3.4
Adelie Penguin (Pygoscelis adeliae),39.6,4.45
Adelie Penguin (Pygoscelis adeliae),36.2,3.3
Adelie Penguin (Pygoscelis adeliae),40.8,4.3
Adelie Penguin (Pygoscelis adeliae),38.1,3.7
Adelie Penguin (Pygoscelis adeliae),40.3,4.35
Adelie Penguin (Pygoscelis adeliae),33.1,2.9
Adelie Penguin (Pygoscelis adeliae),43.2,4.1
Adelie Penguin (Pygoscelis adeliae),35.0,3.725
Adelie Penguin (Pygoscelis adeliae),41.0,4.725
Adelie Penguin (Pygoscelis adeliae),37.7,3.075
Adelie Penguin (Pygoscelis adeliae),37.8,4.25
Adelie Penguin (Pygoscelis adeliae),37.9,2.925
Adelie Penguin (Pygoscelis adeliae),39.7,3.55
Adelie Penguin (Pygoscelis adeliae),38.6,3.75
Adelie Penguin (Pygoscelis adeliae),38.2,3.9
Adelie Penguin (Pygoscelis adeliae),38.1,3.175
Adelie Penguin (Pygoscelis adeliae),43.2,4.775
Adelie Penguin (Pygoscelis adeliae),38.1,3.825
Adelie Penguin (Pygoscelis adeliae),45.6,4.6
Adelie Penguin (Pygoscelis adeliae),39.7,3.2
Adelie Penguin (Pygoscelis adeliae),42.2,4.275
Adelie Penguin (Pygoscelis adeliae),39.6,3.9
Adelie Penguin (Pygoscelis adeliae),42.7,4.075
Adelie Penguin (Pygoscelis adeliae),38.6,2.9
Adelie Penguin (Pygoscelis adeliae),37.3,3.775
Adelie Penguin (Pygoscelis adeliae),35.7,3.35
Adelie Penguin (Pygoscelis adeliae),41.1,3.325
Adelie Penguin (Pygoscelis adeliae),36.2,3.15
Adelie Penguin (Pygoscelis adeliae),37.7,3.5
Adelie Penguin (Pygoscelis adeliae),40.2,3.45
Adelie Penguin (Pygoscelis adeliae),41.4,3.875
Adelie Penguin (Pygoscelis adeliae),35.2,3.05
Adelie Penguin (Pygoscelis adeliae),40.6,4.0
Adelie Penguin (Pygoscelis adeliae),38.8,3.275
Adelie Penguin (Pygoscelis adeliae),41.5,4.3
Adelie Penguin (Pygoscelis adeliae),39.0,3.05
Adelie Penguin (Pygoscelis adeliae),44.1,4.0
Adelie Penguin (Pygoscelis adeliae),38.5,3.325
Adelie Penguin (Pygoscelis adeliae),43.1,3.5
Adelie Penguin (Pygoscelis adeliae),36.8,3.5
Adelie Penguin (Pygoscelis adeliae),37.5,4.475
Adelie Penguin (Pygoscelis adeliae),38.1,3.425
Adelie Penguin (Pygoscelis adeliae),41.1,3.9
Adelie Penguin (Pygoscelis adeliae),35.6,3.175
Adelie Penguin (Pygoscelis adeliae),40.2,3.975
Adelie Penguin (Pygoscelis adeliae),37.0,3.4
Adelie Penguin (Pygoscelis adeliae),39.7,4.25
Adelie Penguin (Pygoscelis adeliae),40.2,3.4
Adelie Penguin (Pygoscelis adeliae),40.6,3.475
Adelie Penguin (Pygoscelis adeliae),32.1,3.05
Adelie Penguin (Pygoscelis adeliae),40.7,3.725
Adelie Penguin (Pygoscelis adeliae),37.3,3.0
Adelie Penguin (Pygoscelis adeliae),39.0,3.65
Adelie Penguin (Pygoscelis adeliae),39.2,4.25
Adelie Penguin (Pygoscelis adeliae),36.6,3.475
Adelie Penguin (Pygoscelis adeliae),36.0,3.45
Adelie Penguin (Pygoscelis adeliae),37.8,3.75
Adelie Penguin (Pygoscelis adeliae),36.0,3.7
Adelie Penguin (Pygoscelis adeliae),41.5,4.0
Chinstrap penguin (Pygoscelis antarctica),46.5,3.5
Chinstrap penguin (Pygoscelis antarctica),50.0,3.9
Chinstrap penguin (Pygoscelis antarctica),51.3,3.65
Chinstrap penguin (Pygoscelis antarctica),45.4,3.525
Chinstrap penguin (Pygoscelis antarctica),52.7,3.725
Chinstrap penguin (Pygoscelis antarctica),45.2,3.95
Chinstrap penguin (Pygoscelis antarctica),46.1,3.25
Chinstrap penguin (Pygoscelis antarctica),51.3,3.75
Chinstrap penguin (Pygoscelis antarctica),46.0,4.15
Chinstrap penguin (Pygoscelis antarctica),51.3,3.7
Chinstrap penguin (Pygoscelis antarctica),46.6,3.8
Chinstrap penguin (Pygoscelis antarctica),51.7,3.775
Chinstrap penguin (Pygoscelis antarctica),47.0,3.7
Chinstrap penguin (Pygoscelis antarctica),52.0,4.05
Chinstrap penguin (Pygoscelis antarctica),45.9,3.575
Chinstrap penguin (Pygoscelis antarctica),50.5,4.05
Chinstrap penguin (Pygoscelis antarctica),50.3,3.3
Chinstrap penguin (Pygoscelis antarctica),58.0,3.7
Chinstrap penguin (Pygoscelis antarctica),46.4,3.45
Chinstrap penguin (Pygoscelis antarctica),49.2,4.4
Chinstrap penguin (Pygoscelis antarctica),42.4,3.6
Chinstrap penguin (Pygoscelis antarctica),48.5,3.4
Chinstrap penguin (Pygoscelis antarctica),43.2,2.9
Chinstrap penguin (Pygoscelis antarctica),50.6,3.8
Chinstrap penguin (Pygoscelis antarctica),46.7,3.3
Chinstrap penguin (Pygoscelis antarctica),52.0,4.15
Chinstrap penguin (Pygoscelis antarctica),50.5,3.4
Chinstrap penguin (Pygoscelis antarctica),49.5,3.8
Chinstrap penguin (Pygoscelis antarctica),46.4,3.7
Chinstrap penguin (Pygoscelis antarctica),52.8,4.55
Chinstrap penguin (Pygoscelis antarctica),40.9,3.2
Chinstrap penguin (Pygoscelis antarctica),54.2,4.3
Chinstrap penguin (Pygoscelis antarctica),42.5,3.35
Chinstrap penguin (Pygoscelis antarctica),51.0,4.1
Chinstrap penguin (Pygoscelis antarctica),49.7,3.6
Chinstrap penguin (Pygoscelis antarctica),47.5,3.9
Chinstrap penguin (Pygoscelis antarctica),47.6,3.85
Chinstrap penguin (Pygoscelis antarctica),52.0,4.8
Chinstrap penguin (Pygoscelis antarctica),46.9,2.7
Chinstrap penguin (Pygoscelis antarctica),53.5,4.5
Chinstrap penguin (Pygoscelis antarctica),49.0,3.95
Chinstrap penguin (Pygoscelis antarctica),46.2,3.65
Chinstrap penguin (Pygoscelis antarctica),50.9,3.55
Chinstrap penguin (Pygoscelis antarctica),45.5,3.5
Chinstrap penguin (Pygoscelis antarctica),50.9,3.675
Chinstrap penguin (Pygoscelis antarctica),50.8,4.45
Chinstrap penguin (Pygoscelis antarctica),50.1,3.4
Chinstrap penguin (Pygoscelis antarctica),49.0,4.3
Chinstrap penguin (Pygoscelis antarctica),51.5,3.25
Chinstrap penguin (Pygoscelis antarctica),49.8,3.675
Chinstrap penguin (Pygoscelis antarctica),48.1,3.325
Chinstrap penguin (Pygoscelis antarctica),51.4,3.95
Chinstrap penguin (Pygoscelis antarctica),45.7,3.6
Chinstrap penguin (Pygoscelis antarctica),50.7,4.05
Chinstrap penguin (Pygoscelis antarctica),42.5,3.35
Chinstrap penguin (Pygoscelis antarctica),52.2,3.45
Chinstrap penguin (Pygoscelis antarctica),45.2,3.25
Chinstrap penguin (Pygoscelis antarctica),49.3,4.05
Chinstrap penguin (Pygoscelis antarctica),50.2,3.8
Chinstrap penguin (Pygoscelis antarctica),45.6,3.525
Chinstrap penguin (Pygoscelis antarctica),51.9,3.95
Chinstrap penguin (Pygoscelis antarctica),46.8,3.65
Chinstrap penguin (Pygoscelis antarctica),45.7,3.65
Chinstrap penguin (Pygoscelis antarctica),55.8,4.0
Chinstrap penguin (Pygoscelis antarctica),43.5,3.4
Chinstrap penguin (Pygoscelis antarctica),49.6,3.775
Chinstrap penguin (Pygoscelis antarctica),50.8,4.1
Chinstrap penguin (Pygoscelis antarctica),50.2,3.775
Gentoo penguin (Pygoscelis papua),46.1,4.5
Gentoo penguin (Pygoscelis papua),50.0,5.7
Gentoo penguin (Pygoscelis papua),48.7,4.45
Gentoo penguin (Pygoscelis papua),50.0,5.7
Gentoo penguin (Pygoscelis papua),47.6,5.4
Gentoo penguin (Pygoscelis papua),46.5,4.55
Gentoo penguin (Pygoscelis papua),45.4,4.8
Gentoo penguin (Pygoscelis papua),46.7,5.2
Gentoo penguin (Pygoscelis papua),43.3,4.4
Gentoo penguin (Pygoscelis papua),46.8,5.15
Gentoo penguin (Pygoscelis papua),40.9,4.65
Gentoo penguin (Pygoscelis papua),49.0,5.55
Gentoo penguin (Pygoscelis papua),45.5,4.65
Gentoo penguin (Pygoscelis papua),48.4,5.85
Gentoo penguin (Pygoscelis papua),45.8,4.2
Gentoo penguin (Pygoscelis papua),49.3,5.85
Gentoo penguin (Pygoscelis papua),42.0,4.15
Gentoo penguin (Pygoscelis papua),49.2,6.3
Gentoo penguin (Pygoscelis papua),46.2,4.8
Gentoo penguin (Pygoscelis papua),48.7,5.35
Gentoo penguin (Pygoscelis papua),50.2,5.7
Gentoo penguin (Pygoscelis papua),45.1,5.0
Gentoo penguin (Pygoscelis papua),46.5,4.4
Gentoo penguin (Pygoscelis papua),46.3,5.05
Gentoo penguin (Pygoscelis papua),42.9,5.0
Gentoo penguin (Pygoscelis papua),46.1,5.1
Gentoo penguin (Pygoscelis papua),44.5,4.1
Gentoo penguin (Pygoscelis papua),47.8,5.65
Gentoo penguin (Pygoscelis papua),48.2,4.6
Gentoo penguin (Pygoscelis papua),50.0,5.55
Gentoo penguin (Pygoscelis papua),47.3,5.25
Gentoo penguin (Pygoscelis papua),42.8,4.7
Gentoo penguin (Pygoscelis papua),45.1,5.05
Gentoo penguin (Pygoscelis papua),59.6,6.05
Gentoo penguin (Pygoscelis papua),49.1,5.15
Gentoo penguin (Pygoscelis papua),48.4,5.4
Gentoo penguin (Pygoscelis papua),42.6,4.95
Gentoo penguin (Pygoscelis papua),44.4,5.25
Gentoo penguin (Pygoscelis papua),44.0,4.35
Gentoo penguin (Pygoscelis papua),48.7,5.35
Gentoo penguin (Pygoscelis papua),42.7,3.95
Gentoo penguin (Pygoscelis papua),49.6,5.7
Gentoo penguin (Pygoscelis papua),45.3,4.3
Gentoo penguin (Pygoscelis papua),49.6,4.75
Gentoo penguin (Pygoscelis papua),50.5,5.55
Gentoo penguin (Pygoscelis papua),43.6,4.9
Gentoo penguin (Pygoscelis papua),45.5,4.2
Gentoo penguin (Pygoscelis papua),50.5,5.4
Gentoo penguin (Pygoscelis papua),44.9,5.1
Gentoo penguin (Pygoscelis papua),45.2,5.3
Gentoo penguin (Pygoscelis papua),46.6,4.85
Gentoo penguin (Pygoscelis papua),48.5,5.3
Gentoo penguin (Pygoscelis papua),45.1,4.4
Gentoo penguin (Pygoscelis papua),50.1,5.0
Gentoo penguin (Pygoscelis papua),46.5,4.9
Gentoo penguin (Pygoscelis papua),45.0,5.05
Gentoo penguin (Pygoscelis papua),43.8,4.3
Gentoo penguin (Pygoscelis papua),45.5,5.0
Gentoo penguin (Pygoscelis papua),43.2,4.45
Gentoo penguin (Pygoscelis papua),50.4,5.55
Gentoo penguin (Pygoscelis papua),45.3,4.2
Gentoo penguin (Pygoscelis papua),46.2,5.3
Gentoo penguin (Pygoscelis papua),45.7,4.4
Gentoo penguin (Pygoscelis papua),54.3,5.65
Gentoo penguin (Pygoscelis papua),45.8,4.7
Gentoo penguin (Pygoscelis papua),49.8,5.7
Gentoo penguin (Pygoscelis papua),46.2,4.65
Gentoo penguin (Pygoscelis papua),49.5,5.8
Gentoo penguin (Pygoscelis papua),43.5,4.7
Gentoo penguin (Pygoscelis papua),50.7,5.55
Gentoo penguin (Pygoscelis papua),47.7,4.75
Gentoo penguin (Pygoscelis papua),46.4,5.0
Gentoo penguin (Pygoscelis papua),48.2,5.1
Gentoo penguin (Pygoscelis papua),46.5,5.2
Gentoo penguin (Pygoscelis papua),46.4,4.7
Gentoo penguin (Pygoscelis papua),48.6,5.8
Gentoo penguin (Pygoscelis papua),47.5,4.6
Gentoo penguin (Pygoscelis papua),51.1,6.0
Gentoo penguin (Pygoscelis papua),45.2,4.75
Gentoo penguin (Pygoscelis papua),45.2,5.95
Gentoo penguin (Pygoscelis papua),49.1,4.625
Gentoo penguin (Pygoscelis papua),52.5,5.45
Gentoo penguin (Pygoscelis papua),47.4,4.725
Gentoo penguin (Pygoscelis papua),50.0,5.35
Gentoo penguin (Pygoscelis papua),44.9,4.75
Gentoo penguin (Pygoscelis papua),50.8,5.6
Gentoo penguin (Pygoscelis papua),43.4,4.6
Gentoo penguin (Pygoscelis papua),51.3,5.3
Gentoo penguin (Pygoscelis papua),47.5,4.875
Gentoo penguin (Pygoscelis papua),52.1,5.55
Gentoo penguin (Pygoscelis papua),47.5,4.95
Gentoo penguin (Pygoscelis papua),52.2,5.4
Gentoo penguin (Pygoscelis papua),45.5,4.75
Gentoo penguin (Pygoscelis papua),49.5,5.65
Gentoo penguin (Pygoscelis papua),44.5,4.85
Gentoo penguin (Pygoscelis papua),50.8,5.2
Gentoo penguin (Pygoscelis papua),49.4,4.925
Gentoo penguin (Pygoscelis papua),46.9,4.875
Gentoo penguin (Pygoscelis papua),48.4,4.625
Gentoo penguin (Pygoscelis papua),51.1,5.25
Gentoo penguin (Pygoscelis papua),48.5,4.85
Gentoo penguin (Pygoscelis papua),55.9,5.6
Gentoo penguin (Pygoscelis papua),47.2,4.975
Gentoo penguin (Pygoscelis papua),49.1,5.5
Gentoo penguin (Pygoscelis papua),47.3,4.725
Gentoo penguin (Pygoscelis papua),46.8,5.5
Gentoo penguin (Pygoscelis papua),41.7,4.7
Gentoo penguin (Pygoscelis papua),53.4,5.5
Gentoo penguin (Pygoscelis papua),43.3,4.575
Gentoo penguin (Pygoscelis papua),48.1,5.5
Gentoo penguin (Pygoscelis papua),50.5,5.0
Gentoo penguin (Pygoscelis papua),49.8,5.95
Gentoo penguin (Pygoscelis papua),43.5,4.65
Gentoo penguin (Pygoscelis papua),51.5,5.5
Gentoo penguin (Pygoscelis papua),46.2,4.375
Gentoo penguin (Pygoscelis papua),55.1,5.85
Gentoo penguin (Pygoscelis papua),44.5,4.875
Gentoo penguin (Pygoscelis papua),48.8,6.0
Gentoo penguin (Pygoscelis papua),47.2,4.925
Gentoo penguin (Pygoscelis papua),46.8,4.85
Gentoo penguin (Pygoscelis papua),50.4,5.75
Gentoo penguin (Pygoscelis papua),45.2,5.2
Gentoo penguin (Pygoscelis papua),49.9,5.4
